Date,Max Temp,Min Temp,Observed Temp,"Rain Melted, snow, etc","Snow, ice pellets, hail","Snow ice pellets, hail, ice on ground",RAIN GAUGE,Wind Direction,Wind Speed MPH,Sky Cover,Cloud Type,Notes
10/9/88,55,38,47,0,,,,133,2.14,0,,
10/8/88,56,33,43,0,,,,132,3.43,0,,
10/7/88,57,32,33,0,,,,245,2.78,4,Cu,first frost in camp
10/6/88,46,35,35,0,,,,328,3.01,3,Cu,
10/5/88,49,38,41,0,,,,24,5.2,3,Cu,
10/4/88,46,38,38,0.15,,,,11,3.59,7,Cu,
10/3/88,53,40,40,0.23,,,,305,3.02,0,,
10/2/88,57,52,53,0.02,,,,0,4.01,8,Cu,
10/1/88,66,54,66,0.9,,,,297,3.77,8,Ns,
9/30/88,74,48,53,T,,,,264,3.07,9,,
9/29/88,64,45,48,0,,,,140,4.32,6,As,
9/28/88,52,46,46,0,,,,119,4.97,7,Cu,
9/27/88,62,46,60,0,,,,325,5.31,4,Cu,
9/26/88,62,43,46,0.12,,,,143,3.59,8,Ns,
9/25/88,67,45,56,0,,,,305,4.8,0,,
9/24/88,66,45,48,0,,,,283,2.44,0,,dew
9/23/88,61,50,54,0.01,,,,307,5.41,0,,
9/22/88,62,50,50,0.07,,,,162,3.05,8,Ns,
9/21/88,55,50,50,0,,,,332,4.39,8,Cu,
9/20/88,59,51,51,0.13,,,,283,4.98,8,Ns,
9/19/88,67,62,65,0.57,,,,166,4.37,7,Cu,
9/18/88,74,58,61,T,,,,141,2.32,9,,
9/17/88,71,50,58,T,,,,264,3.36,8,St,
9/16/88,70,46,49,0.01,,,,146,4.33,7,St,
9/15/88,66,45,46,0,,,,123,2.58,0,,
9/14/88,62,51,54,0,,,,338,5.17,0,,
9/13/88,63,53,53,0,,,,314,5.2,0,,
9/12/88,82,50,60,0.42,,,,271,5.08,6,Cu,
9/11/88,72,48,50,0,,,,139,3.18,0,,
9/10/88,66,54,58,0,,,,305,4.11,7,St,
9/9/88,73,57,57,T,,,,274,5.19,0,,
9/8/88,73,46,57,0.01,,,,242,4.2,0,,
9/7/88,72,46,46,0,,,,255,3.83,0,,
9/6/88,63,46,46,0,,,,293,4.4,0,,
9/5/88,56,47,51,0.01,,,,10,5.86,3,Cu,
9/4/88,66,64,65,0.1,,,,31,4.46,8,Ns,
9/3/88,70,61,65,0.16,,,,138,2.1,8,As,
9/2/88,81,61,61,T,,,,265,3.28,2,Cu,
9/1/88,78,53,65,0,,,,260,4.57,8,St,
8/31/88,77,51,53,0,,,,185,2.73,6,Cu,
8/30/88,67,50,52,0,,,,326,2.2,8,Cu,
8/29/88,66,53,55,T,,,,325,2.56,8,Ns,rain
8/28/88,66,50,53,0.15,,,,283,3.75,1,Sc,
8/27/88,69,52,57,0.5,,,,234,3.1,,,
8/26/88,66,63,64,0.01,,,,317,4.99,,,
8/25/88,65,57,58,0.66,,,,304,4.88,8,Cu,
8/24/88,67,60,64,0.12,,,,293,2.68,,,
8/23/88,61,61,61,0.1,,,,151,3.37,,,
8/22/88,76,52,52,0,,,,156,3.07,0,,
8/21/88,73,55,58,0,,,,48,2.47,0,,
8/20/88,74,54,57,0,,,,347,2.73,0,,
8/19/88,71,53,57,0,,,,52,2.49,0,,
8/18/88,68,61,61,0,,,,114,3.69,5,Ci,
8/17/88,76,68,69,0.16,,,,352,3.2,8,Ns,
8/16/88,87,65,69,1.12,,,,245,3.26,8,Cu,heavy thunderstorms at night
8/15/88,81,65,66,0,,,,326,4.98,1,Cu,
8/14/88,82,75,76,0,,,,277,7.81,2,Cu,
8/13/88,93,70,75,0.15,,,,254,3.44,8,Cu,
8/12/88,92,63,70,0,,,,233,2.59,4,Ci,
8/11/88,87,61,63,0,,,,262,2.9,0,,
8/10/88,81,60,62,0,,,,148,2.08,9,,
8/9/88,75,68,68,0.08,,,,326,2.32,8,Ns,
8/8/88,77,61,69,0.2,,,,270,2.59,8,St,
8/7/88,87,58,61,T,,,,200,2.15,0,,
8/6/88,76,64,67,0,,,,303,5.5,8,St,
8/5/88,78,72,72,0.09,,,,267,3.44,8,Ns,
8/4/88,84,70,77,0.02,,,,209,2.73,8,Ac,
8/3/88,89,73,74,0,,,,278,3.95,5,Ci,
8/2/88,95,71,73,0,,,,241,3.8,0,,
8/1/88,87,60,71,0.03,,,,8,3.02,3,Ci,
7/31/88,77,57,60,0.07,,,,219,2.63,0,,
7/30/88,80,68,70,0.5,,,,332,4.45,7,St,
7/29/88,93,67,75,0,,,,272,5.12,4,Ci,
7/28/88,89,63,66,0.02,,,,261,3.41,0,,
7/27/88,82,61,62,0,,,,226,2.38,4,Cs,
7/26/88,78,64,65,T,,,,355,3.61,0,,
7/25/88,79,64,65,0.01,,,,318,3.11,0,,
7/24/88,83,61,68,T,,,,264,2.3,0,,
7/23/88,82,61,70,T,,,,125,2.17,0,,
7/22/88,78,63,64,0,,,,53,2.48,3,Cu,
7/21/88,76,64,64,T,,,,328,2.83,8,St,
7/20/88,78,59,63,0,,,,350,3.19,1,Cu,
7/19/88,78,61,63,0,,,,328,2.81,4,Ci,
7/18/88,70,61,66,0.46,,,,287,1.57,8,St,
7/17/88,81,58,61,0,,,,328,3.42,6,Cu,
7/16/88,74,59,68,0.03,,,,341,3.65,8,As,
7/15/88,73,57,59,1.99,,,,96,3.11,,,
7/14/88,79,56,60,T,,,,345,4.07,8,As,
7/13/88,81,55,60,0.04,,,,245,4.12,8,Ci,
7/12/88,75,56,58,0,,,,13,3.46,0,,
7/11/88,78,61,64,T,,,,329,4.48,,,
7/10/88,75,69,70,0.04,,,,282,2.71,8,As,
7/9/88,84,69,70,T,,,,341,3.18,0,,
7/8/88,96,71,74,0,,,,274,4.13,0,,
7/7/88,96,69,70,0,,,,268,4.06,0,,
7/6/88,95,64,68,0,,,,261,3.23,2,Ci,
7/5/88,90,60,64,0,,,,17,2.78,0,,
7/4/88,90,55,59,0,,,,239,2.79,0,,
7/3/88,82,52,60,0,,,,214,2.36,0,,
7/2/88,74,50,54,0,,,,326,3.49,8,Ci,
7/1/88,72,53,55,0,,,,354,4.23,0,,
6/30/88,69,54,55,0,,,,21,4.49,0,,
6/29/88,67,48,55,0,,,,349,5.44,0,,
6/28/88,71,56,62,0,,,,350,4.49,8,Sc,
6/27/88,75,50,56,0,,,,321,3.71,6,Ci,
6/26/88,70,54,60,0,,,,6,6.45,0,,
6/25/88,81,60,81,0,,,,314,8.44,4,Cu,
6/24/88,81,57,60,0.06,,,,145,2.9,8,Cu,
6/23/88,69,56,56,0,,,,357,3.6,0,,
6/22/88,78,59,67,0.71,,,,319,5.67,8,St,
6/21/88,88,55,59,T,,,,243,2.84,0,,
6/20/88,85,68,73,T,,,,324,4.78,1,Cu,
6/19/88,89,55,76,0,,,,263,6.39,8,Sc,
6/18/88,85,49,55,0,,,,246,3.47,3,Ci,
6/17/88,71,48,53,0,,,,98,2.65,0,,
6/16/88,66,51,52,0,,,,42,2.82,,,
6/15/88,75,71,71,0.01,,,,295,5.97,8,St,
6/14/88,92,66,73,T,,,,266,5.21,0,,
6/13/88,90,60,65,0,,,,257,3.87,0,,
6/12/88,84,54,69,0,,,,274,4.27,0,,
6/11/88,77,49,54,0,,,,272,3.84,0,,
6/10/88,71,46,49,0,,,,321,4.04,8,Cu,
6/9/88,62,45,50,0,,,,11,5.52,0,,
6/8/88,61,49,49,0.21,,,,43,3.33,8,Ns,rain
6/7/88,72,60,63,0,,,,109,3.1,2,Cu,
6/6/88,88,59,63,0,,,,293,4.06,0,,
6/5/88,87,53,59,0,,,,307,3.81,0,,
6/4/88,74,48,56,0,,,,319,4.12,0,,
6/3/88,71,48,50,0,,,,12,3.33,,,
6/2/88,61,45,49,0,,,,112,3.81,2,Ci,
6/1/88,83,62,63,0.15,,,,152,3.01,6,Cu,
5/31/88,87,60,63,0,,,,293,2.68,2,Cu,
5/30/88,85,58,70,0,,,,274,3.99,0,,
5/29/88,85,58,63,T,,,,219,2.77,8,Cu,
5/28/88,74,53,60,0,,,,76,2.11,8,Cu,
5/27/88,78,49,53,0,,,,270,3.81,8,Ci,
5/26/88,70,40,50,0.12,,,,261,4.85,2,Cs,
5/25/88,59,38,41,0,,,,338,4.48,0,,
5/24/88,52,45,46,0,,,,0,6.25,0,,
5/23/88,73,51,52,0,,,,356,4.31,0,,
5/22/88,75,54,60,0,,,,4,3.14,0,,
5/21/88,78,56,61,T,,,,335,2.68,8,Sc,
5/20/88,67,48,56,0,,,,103,1.94,8,St,
5/19/88,73,43,49,T,,,,106,3.78,2,Ci,
5/18/88,67,38,46,0,,,,86,2.64,0,,
5/17/88,66,40,43,0,,,,73,3.27,0,,
5/16/88,59,50,50,0,,,,30,4.21,8,Sc,
5/15/88,76,40,55,0.06,,,,261,5.76,8,St,
5/14/88,66,32,40,0,,,,158,3.58,0,,
5/13/88,48,41,42,0.56,,,,310,8.02,8,Sc,
5/12/88,59,40,46,0.1,,,,89,3.39,6,Ci,
5/11/88,59,35,40,0.01,,,,208,3.95,0,,
5/10/88,51,48,48,T,,,,333,5.65,8,Ns,
5/9/88,69,58,59,0.27,,,,201,4.88,3,Ci,
5/8/88,79,51,60,T,,,,190,6.06,8,Sc,
5/7/88,68,40,54,0,,,,123,5.46,0,,
5/6/88,65,46,46,0,,,,23,4.16,0,,
5/5/88,72,45,53,0,,,,5,5.46,0,,
5/4/88,65,43,46,0,,,,35,3.36,7,Sc,
5/3/88,66,42,46,0,,,,123,3.92,0,,
5/2/88,69,38,44,0,,,,102,3.1,0,,
5/1/88,70,38,39,0,,,,10,3.61,,,
4/30/88,62,38,41,0,,,,358,5.05,,,
4/29/88,56,36,38,0,,,,357,6.92,,,
4/28/88,49,34,36,0.04,,0,,1,6.48,6,Cs,
4/27/88,40,34,34,0.84,0.25,0.25,,95,6.06,8,Ns,snow
4/26/88,51,32,37,0,,,,2,5.48,8,Sc,
4/25/88,61,29,32,0,,0,,260,5.41,0,,
4/24/88,48,34,36,0.03,1,1.5,,334,6.92,0,,
4/23/88,37,31,34,0.59,1,1,,84,6.2,8,Ns,snow
4/22/88,49,27,31,0,,,,89,4.87,0,,
4/21/88,45,26,27,0,,,,320,5.51,0,,
4/20/88,49,26,28,0,,0,,331,5.42,6,Sc,
4/19/88,40,27,29,0.03,0.25,0.25,,322,6.91,8,Ns,
4/18/88,33,27,28,0,T,T,,329,10.03,8,Sc,
4/17/88,53,35,50,0.21,,0,,289,8.18,8,St,
4/16/88,52,29,35,0,,0,,320,5.94,8,Sc,
4/15/88,36,28,29,0.03,0.25,0.25,,307,6.06,8,Sc,
4/14/88,36,34,34,0.05,T,T,,338,7.71,3,Cu,
4/13/88,60,33,34,0.02,,,,274,3.72,0,,Ice Out!
4/12/88,57,31,34,0,,,,27,3.45,0,,
4/11/88,50,34,34,0,,,,1,5.33,6,Cu,
4/10/88,49,32,35,0,,,,22,4.32,0,,
4/9/88,52,30,34,0,,,,111,4.39,6,Cu,
4/8/88,48,30,30,0,,,,94,3.68,0,,
4/7/88,49,34,34,0,,,,9,6.05,0,,
4/6/88,41,35,38,0.8,,,,3,6.78,8,Ns,rain
4/5/88,45,38,,0,,0,,97,4.55,0,,
4/4/88,47,38,41,0.2,,2.5,,286,4.13,9,,
4/3/88,63,34,41,0.7,,6.5,,112,3.36,9,,
4/2/88,53,31,34,0.08,,9.5,,124,5.43,0,,
4/1/88,44,26,31,0,,10.5,,70,3.78,8,Sc,
3/31/88,49,24,34,0,,11,,40,4.09,0,,
3/30/88,39,30,31,0.38,4.5,15,,316,6.03,8,Sc,
3/29/88,42,25,38,0.25,,12,,169,4.31,8,St,
3/28/88,38,18,25,0.25,,12.5,,131,7.41,8,St,
3/27/88,31,27,27,0.06,1.75,13.5,,330,7.88,8,St,
3/26/88,48,35,43,0.05,,13,,277,6.23,2,Cu,
3/25/88,57,24,44,0.04,,15.5,,235,7.58,8,Ns,rain
3/24/88,44,22,24,0,,17,,121,6.16,4,Ci,
3/23/88,52,22,31,0,,19.5,,292,6.82,0,,
3/22/88,36,-9,22,0,,20,,145,6.52,8,Ns,
3/21/88,28,-10,-9,0,,20.5,,70,3.17,0,,
3/20/88,23,-6,-3,0,,20.5,,339,5.86,1,Ci,
3/19/88,28,21,24,0.05,1.25,21,,330,5.56,8,Sc,
3/18/88,36,3,30,0.08,0.75,20.5,,311,7,8,Sc,
3/17/88,39,3,3,0,,21,,286,3.55,0,,
3/16/88,31,14,22,T,0.5,22,,341,6.25,8,Sc,
3/15/88,33,9,14,0,0.5,23.5,,345,5.96,8,St,
3/14/88,19,9,9,0.1,2,25,,12,4.6,8,Ns,
3/13/88,22,17,18,0.25,10,24,,23,5.34,8,St,
3/12/88,25,22,22,0.74,0.5,14,,114,11.12,8,Ns,
3/11/88,35,24,32,0,,14,,114,6.92,8,St,
3/10/88,37,23,24,0,,14,,4,2.75,8,Sc,
3/9/88,33,33,33,0.06,0.25,14,,323,7.66,8,Ns,
3/8/88,45,28,34,0.25,,16,,184,5.47,8,Ns,
3/7/88,38,28,31,0,,16.5,,23,4.31,5,Cu,
3/6/88,45,12,28,0,,17.5,,263,8.08,0,,
3/5/88,39,1,12,0,,18,,251,5.49,0,,
3/4/88,32,-4,1,0,,18,,280,4.56,0,,
3/3/88,25,6,6,0,0.25,18.25,,41,3.34,4,Ac,
3/2/88,29,-11,28,0.02,0.25,18.25,,331,6.44,8,Ns,
3/1/88,30,-11,-11,T,,18,,163,5.02,0,,
2/29/88,21,13,17,0,1.75,18.5,,347,5.7,7,Cu,
2/28/88,40,11,13,0.15,,17.5,,262,5.94,2,St,
2/27/88,30,14,15,T,0.25,17.5,,64,3.72,0,,
2/26/88,33,11,20,T,,17.25,,201,4.88,8,Cs,
2/25/88,23,3,17,T,1,17.5,,297,4.85,8,Sc,
2/24/88,20,8,8,T,T,16.75,,311,4.68,1,St,
2/23/88,17,10,11,0.03,0.25,16.75,,302,6.99,8,St,
2/22/88,40,10,35,0.03,,16.5,,267,9.43,8,St,
2/21/88,26,-7,10,0.02,0.25,17.75,,250,6.93,3,Ci,
2/20/88,16,16,16,0.04,0.5,17.5,,339,7.89,8,St,
2/19/88,43,23,25,0,,17,,230,4.03,1,Ci,
2/18/88,41,14,23,0,,19,,249,5.79,7,St,
2/17/88,28,6,28,0.05,1,19,,298,4.8,8,Sc,
2/16/88,29,-2,6,0.03,0.25,18,,212,3.88,8,Sc,
2/15/88,20,16,20,0.22,2.25,18.5,,30,4.81,8,St,
2/14/88,32,6,15,0.05,,16.5,,165,4.21,8,Ac,
2/13/88,22,5,10,0.01,0.5,16.5,,319,5.9,8,St,
2/12/88,17,5,5,0.01,0.5,16.5,,343,7.01,2,St,
2/11/88,10,-8,5,0,,16.5,,61,2.95,8,Sc,
2/10/88,9,-9,-8,0,0.5,17,,46,2.62,4,Sc,
2/9/88,19,-11,10,0.01,0.5,17.5,,297,4.9,8,St,
2/8/88,16,-11,-11,0.01,0.5,18,,263,4.22,0,,
2/7/88,20,2,20,0.11,6,19,,280,7,8,Ns,
2/6/88,20,1,,T,0.5,13,,304,6.65,8,St,
2/5/88,12,-1,5,T,0.25,13,,297,5.26,8,St,
2/4/88,10,-1,-1,0,1,13,,17,3.95,3,Ci,
2/3/88,26,0,4,0.02,,12.5,,265,4.26,6,Cu,
2/2/88,12,9,9,0,1,12.5,,63,3.92,8,St,
2/1/88,24,24,24,0.01,,12,,354,5.63,8,St,
1/31/88,44,36,41,0.3,,14,,277,5.63,9,,
1/30/88,43,22,39,0.02,,17,,250,5.11,8,Ns,
1/29/88,42,-12,22,0,,20,,182,4.74,8,St,
1/28/88,22,-12,-12,0,1,20.5,,69,3.24,0,,
1/27/88,19,-10,0,0.01,0.25,20.5,,259,4.58,1,Ci,
1/26/88,6,-6,-6,0.01,1.5,21,,19,3.87,2,St,
1/25/88,13,7,12,0,0.25,20,,87,3.23,8,St,
1/24/88,25,15,18,0.08,2,21,,318,3.64,8,Ns,
1/23/88,28,-2,13,0.14,3,20,,228,1.95,8,St,
1/22/88,24,-3,4,0.02,,18.5,,227,3.9,8,Cu,
1/21/88,19,15,15,0,3,19,,8,4.63,7,Cu,
1/20/88,33,19,33,0.7,4.5,17,,72,5.05,8,Ns,
1/19/88,33,19,19,0.04,,13,,118,5.95,8,St,
1/18/88,33,31,31,0,,13,,342,4.51,2,Sc,
1/17/88,39,27,32,0,,14,,255,3.3,8,Ns,
1/16/88,42,20,27,0,T,16,,241,7.27,6,Sc,
1/15/88,31,-6,23,0.03,0.5,16.5,,235,4.93,8,St,
1/14/88,23,-15,-6,0.01,T,16,,206,3.78,8,St,
1/13/88,5,1,2,0,2,16.5,,9,5.08,2,Cu,
1/12/88,35,19,24,0.21,0.5,15.5,,176,5.18,8,St,
1/11/88,25,6,19,0.05,0.5,16,,245,4.91,8,Ns,
1/10/88,19,1,6,T,1.25,16.5,,243,6.13,3,Cu,
1/9/88,14,10,11,0,2.5,16.5,,310,4.93,6,St,
1/8/88,18,-3,10,0.11,,15,,249,4.2,8,St,
1/7/88,15,-3,-3,0,0.5,15.5,,212,4.04,1,Cu,
1/6/88,15,6,9,0.04,1.5,16.5,,310,4.17,4,Cu,
1/5/88,12,3,6,0.1,3.25,17,,304,7.19,8,Sc,
1/4/88,13,13,13,0.22,4.5,16.5,,301,6.32,8,Sc,
1/3/88,31,15,24,0.01,0.25,13,,247,5.94,8,Sc,
1/2/88,25,12,15,0.04,3,15,,257,6.22,8,Sc,
1/1/88,18,16,16,0.15,4.5,14,,301,6.32,8,Sc,
12/31/87,35,11,35,0.09,T,9.75,,266,7.68,8,St,
12/30/87,35,7,11,0,,9.75,,183,5.22,7,Ci,
12/29/87,24,15,15,0,,9.75,,27,4.67,0,,
12/28/87,28,23,24,0,,10,,96,4.62,8,,
12/27/87,33,23,30,0,,11,,320,5.01,8,,
12/26/87,30,20,23,0,T,11,,277,5.03,1,,
12/25/87,32,31,31,0.04,,11.5,,338,6.43,8,,
12/24/87,35,28,32,0.21,,11.5,,116,4.81,8,Ns,
12/23/87,37,24,31,0,,12,,268,4.05,3,Cu,
12/22/87,33,25,31,0.03,1.5,13,,295,2.28,8,Sc,
12/21/87,35,29,31,0.04,0.25,12,,277,7.41,8,Ns,
12/20/87,36,29,33,0.56,6,14,,276,5.69,8,Ns,
12/19/87,33,25,29,0.05,2.5,9.5,,182,4.47,8,Sc,
12/18/87,31,23,25,0.09,,8,,218,5.26,8,St,SFBay frozen
12/17/87,25,23,23,0,T,8.5,,354,5.27,8,St,
12/16/87,30,29,29,0.06,9,10,,359,9.9,8,Sc,
12/15/87,32,30,33,0.74,0.5,1.5,,77,8.43,8,Ns,
12/14/87,35,31,32,0,0.25,1,,252,3.26,8,St,
12/13/87,36,33,34,0.07,1,1,,274,4.02,8,Sc,
12/12/87,36,32,33,0.15,T,T,,261,3.34,8,Ns,
12/11/87,38,33,34,0.16,,0,,199,4.15,8,Ns,
12/10/87,39,37,37,0.06,,0,,272,5.6,8,Sc,ice gone
12/9/87,48,35,44,0.38,,0,,241,5.98,8,Ns,
12/8/87,44,21,35,0.18,,0,,174,3.28,8,Ns,
12/7/87,35,20,21,0.02,,0.5,,143,4.88,6,St,
12/6/87,34,21,22,0,,0.5,,92,2.43,0,,lake froze over last night
12/5/87,32,26,29,0,,0.5,,356,5.76,6,Cu,
12/4/87,32,24,26,T,,0.5,,360,6.56,8,Sc,
12/3/87,33,28,29,0,,0.5,,15,3.96,8,Sc,
12/2/87,32,27,28,0.03,0.5,0.5,,285,5.54,8,Ns,
12/1/87,30,29,29,T,,0,,20,5.81,8,Sc,
11/30/87,39,39,,0.45,,0,,38,5.15,8,Ns,rain
11/29/87,48,34,0.35,,0,,117,3.45,8,Ns,,
11/28/87,40,34,,0,,0,,122,8.86,,,
11/27/87,38,27,,0,,0.5,,129,7.21,,,
11/26/87,36,23,,0,1,1,,101,3.24,,,
11/25/87,32,31,,0.02,0,0,,94,5.65,,,
11/24/87,35,34,34,0.01,T,T,,347,4.58,,,
11/23/87,43,31,38,0.12,,0,,247,4.18,,,
11/22/87,38,20,26,0,,1,,191,4.7,,,
11/21/87,26,17,20,0,0.5,1,,7,4.58,,,
11/20/87,26,24,24,0.03,0.5,0.5,,2,8.43,6,Cu,
11/19/87,39,33,39,0.22,,0,,297,8.06,8,Ns,
11/18/87,39,33,33,0.01,0.5,0.5,,307,6.52,8,Ns,
11/17/87,66,42,57,0.02,,,,235,8.05,8,St,
11/16/87,59,36,43,T,,,,172,4.69,8,Sc,
11/15/87,50,31,41,0,,,,138,5.82,8,St,
11/14/87,42,31,39,0,,,,24,3.36,0,,
11/13/87,48,32,41,0,,,,301,4.22,0,,
11/12/87,50,31,32,0,,0,,248,3.34,0,,
11/11/87,41,21,31,0,,1,,252,5.02,8,St,
11/10/87,33,27,27,T,1,1,,24,4.9,1,Cu,
11/9/87,32,28,28,0.08,T,T,,358,4.24,8,St,
11/8/87,44,34,44,T,,,,344,6.45,8,Sc,
11/7/87,46,30,36,0,,0,,280,3.73,0,,
11/6/87,44,28,33,T,1,1,,312,7.33,6,Cu,
11/5/87,36,34,35,0.12,,,,333,9.54,6,Cu,
11/4/87,57,54,54,0.35,,,,300,7.17,8,Ns,rain
11/3/87,67,49,58,1.48,,,,266,4.47,9,,
11/2/87,62,44,49,0.08,,,,173,4.05,8,Ns,
11/1/87,49,34,44,0,,,,127,6.05,8,Sc,
10/31/87,48,33,34,0,,,,109,3.14,2,St,
10/30/87,52,32,44,0,,,,310,6.37,7,Cu,
10/29/87,44,32,32,0,,,,277,2.95,2,Cu,
10/28/87,43,33,37,0.06,,,,311,2.93,3,Cu,
10/27/87,47,33,43,0.05,,,,312,4.84,6,Cu,
10/26/87,53,31,33,0.15,,,,221,4.11,4,Ci,heavy frost
10/25/87,46,31,34,0,,,,301,3.88,0,,
10/24/87,44,36,38,0.14,,,,342,3.75,,,
10/23/87,43,33,37,0.01,,,,62,3.12,7,Sc,
10/22/87,39,33,33,0.19,,,,141,3.52,8,St,
10/21/87,43,34,36,0.01,,,,12,2.82,2,Cu,
10/20/87,50,38,39,0,,,,171,3.45,8,St,
10/19/87,52,38,38,0,,,,289,2.8,2,Sc,
10/18/87,57,39,40,0,,,,272,4.18,4,Cu,
10/17/87,53,45,53,0.64,,,,290,3.97,8,Ns,
10/16/87,69,45,45,0.04,,,,183,3.37,6,As,
10/15/87,54,49,49,0.04,,,,99,1.99,8,Ns,
10/14/87,61,33,53,0,,,,262,5.53,1,St,
10/13/87,60,33,33,0,,,,250,4.04,0,,first frost in camp
10/12/87,53,33,33,0,,,,238,3.07,5,Cu,
10/11/87,47,33,36,0,,,,288,3.36,7,Cu,
10/10/87,44,37,39,0,,,,318,3.52,8,Cu,
10/9/87,53,38,49,0.01,,,,287,6.95,8,St,
10/8/87,49,37,38,0,,,,334,4.46,8,Sc,
10/7/87,43,39,40,0.28,,,,14,7.14,8,Ns,
10/6/87,49,43,48,0.09,,,,307,3.25,8,Sc,
10/5/87,61,38,50,0,,,,250,3.72,8,St,
10/4/87,64,37,38,0,,,,254,4.2,1,Cu,
10/3/87,46,38,39,0,,,,353,4.08,8,Sc,
10/2/87,48,39,48,0.86,,,,1,6.91,8,Ns,
10/1/87,53,38,39,0.4,,,,257,3.79,8,St,
9/30/87,52,51,52,0.35,,,,354,5,8,Ns,
9/29/87,69,56,58,0.28,,,,285,3.39,8,St,
9/28/87,79,56,56,0,,,,256,4.15,0,,
9/27/87,69,49,63,0,,,,165,2.85,8,Sc,
9/26/87,68,44,49,0,,,,286,2.5,6,Cu,
9/25/87,61,44,44,0,,,,294,3.94,0,,
9/24/87,58,48,48,0,,,,348,4.12,0,,
9/23/87,69,50,53,0,,,,291,5.04,8,Ci,
9/22/87,65,54,56,0,,,,12,3.32,8,Sc,
9/21/87,60,54,54,1,,,,56,2.59,8,Ns,
9/20/87,66,57,58,0.25,,,,161,2.2,8,Cs,
9/19/87,68,54,58,1.19,,,,274,2.96,8,Ns,
9/18/87,62,53,53,0,,,,113,3.78,4,Ci,
9/17/87,60,53,60,0.32,,,,119,4.99,8,Ns,
9/16/87,75,47,53,0,,,,154,2.43,8,Ci,
9/15/87,72,47,47,0,,,,232,2.35,3,Ci,
9/14/87,67,48,48,0,,,,285,3.17,0,,
9/13/87,63,54,59,0.06,,,,271,3.11,8,Ns,
9/12/87,69,59,62,0.1,,,,226,2.77,8,Cs,
9/11/87,69,54,59,0.51,,,,153,1.84,6,Cu,
9/10/87,72,54,54,0,,,,176,2.1,9,,
9/9/87,70,56,58,0,,,,313,3,0,,
9/8/87,64,59,62,0.28,,,,42,1.59,,,trouble with barometer clock
9/7/87,74,59,63,0.01,,,,15,2.63,,,trouble with barometer clock
9/6/87,82,54,59,0,,,,235,2.66,,,trouble with barometer clock
9/5/87,83,48,54,0,,,,232,3.06,,,trouble with barometer clock
9/4/87,74,42,48,0,,,,192,3.07,,,trouble with barometer clock
9/3/87,66,41,42,0,,,,201,2.24,0,,
9/2/87,60,48,52,0.02,,,,352,3.35,8,Cu,
9/1/87,63,49,51,0,,,,303,4.06,8,Cu,
8/31/87,59,53,54,0.03,,,,317,4.46,6,Cu,
8/30/87,72,55,67,0.2,,,,270,4.61,8,St,
8/29/87,75,52,60,0,,,,262,2.98,4,Ci,
8/28/87,72,58,58,0,,,,3,2.37,7,Cu,
8/27/87,70,56,59,0,,,,47,2.01,8,Ns,
8/26/87,70,54,58,0,,,,97,2.05,8,Sc,
8/25/87,71,52,54,0,,,,317,2.5,3,Ci,
8/24/87,67,50,52,0,,,,290,4.41,2,Cu,
8/23/87,63,55,5,0,,,,334,5.93,6,Cu,
8/22/87,67,59,60,0,,,,337,7.06,2,Cu,
8/21/87,83,53,59,0,,,,218,2.99,0,,
8/20/87,75,53,53,0,,,,269,3.01,1,Cu,
8/19/87,71,56,58,0.06,,,,294,3.86,3,Cu,
8/18/87,72,56,59,1.14,,,,265,2.82,5,Sc,
8/17/87,76,67,70,0.29,,,,287,4.86,8,Sc,
8/16/87,83,71,73,0.26,,,,234,3.1,4,Sc,
8/15/87,80,68,73,0.54,,,,245,3.18,8,Ns,
8/14/87,75,64,68,0.11,,,,149,2.27,8,Ns,
8/13/87,82,60,63,0,,,,223,2.19,7,Sc,
8/12/87,83,59,60,0,,,,173,2.96,2,Cu,
8/11/87,78,57,59,0,,,,127,4.16,0,,
8/10/87,74,60,62,0,,,,8,3.24,8,Sc,
8/9/87,70,59,62,0.27,,,,112,3.93,8,Ns,
8/8/87,79,57,59,0,,,,221,2.59,8,Cs,
8/7/87,77,56,67,0.02,,,,305,4.65,1,Cu,
8/6/87,79,54,56,0,,,,203,2.82,2,Ci,
8/5/87,70,56,59,0,,,,115,2.84,6,Sc,
8/4/87,70,67,67,0,,,,,,7,Cu,
8/3/87,88,67,70,0,,,,,,0,,
8/2/87,77,67,72,0.86,,,,307,4.04,8,Ns,
8/1/87,77,65,67,0.04,,,,144,3.62,8,St,
7/31/87,80,65,66,0,,,,128,4.95,8,Cu,
7/30/87,79,65,68,0,,,,98,2.52,9,,
7/29/87,84,60,65,0,,,,262,3.09,4,Cu,
7/28/87,80,58,60,0,,,,113,3.08,0,,
7/27/87,80,56,58,0,,,,317,4.07,0,,
7/26/87,77,65,69,0,,,,13,3.78,3,Cu,
7/25/87,84,65,68,0,,,,330,3.04,0,,
7/24/87,85,71,72,0.01,,,,,,8,Ns,
7/23/87,89,69,71,0,,,,265,5.1,0,,
7/22/87,91,66,68,0,,,,258,3.05,5,Ci,
7/21/87,84,63,71,0,,,,296,2.93,8,Sc,
7/20/87,87,69,70,0.03,,,,312,4.21,0,,
7/19/87,88,70,75,0,,,,231,3.98,8,St,
7/18/87,88,66,74,0,,,,274,4.27,4,St,
